stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1993TH,Dorchester,51.641035,-1.163757,2.835,0.145,1.376,0.223
1995TH,Ewelme,51.619653,-1.073786,0.201,0.006,0.46,0.041
2001,Bewdley,52.383563,-2.322438,5.563,0.053,3.3,0.20700000000000002
2001TH,Benson Lock,51.617191,-1.116011,1.558,-0.581,0.31,0.038
2002,Evesham,52.092165,-1.942876,5.517,0.38,1.9,0.46
2002SO,SHERMAN BRIDGE GS,50.82568,0.175071,,,,
2002TH,Cleeve Lock,51.529995,-1.135937,0.8310000000000001,-0.259,0.35000000000000003,0
2003TH,Goring Lock,51.523317,-1.141252,1.306,-0.32,0.215,0.05
2004,Stoneleigh LVL,52.354922,-1.514617,,,,
2004TH,Whitchurch Lock,51.486605,-1.088869,0.976,-0.28300000000000003,0.225,0.009000000000000001
2005,Montford,52.724474,-2.872198,7.008,-0.121,4.8,0.28700000000000003
2008,Tenbury,52.313207,-2.591539,5.968,0.279,4.5,0.428
2010,Alscot Park,52.153735,-1.697245,2.859,-0.316,0.673,0.12
2011,Harford Hill,52.255374,-2.193909,2.834,0.016,2,0.189
2012,Walcot,52.706629,-2.60558,2.963,0.04,1.3,0.386
2015,Besford Bridge,52.114425,-2.108012,4.061,0.05,1.9,0.165
2016,Rodington,52.723597,-2.609812,1.612,0.11900000000000001,1,0.20800000000000002
2017,Wedderburn Bridge,51.909034,-2.32673,3.799,0.08600000000000001,2,0.181
2018,Hookagate,52.678113,-2.791698,2.542,0.097,1.1,0.153
2019,Stareton,52.340881,-1.512833,2.699,0.048,1.9500000000000002,0.105
2020,Yeaton,52.76777,-2.839715,1.127,0.042,0.7000000000000001,0.106
2020TH,Blewbury,51.573061,-1.233747,0.486,0.053,0.24,0.08600000000000001
2023,Offenham,52.100775,-1.910164,3.653,0.024,1.112,0.14100000000000001
2024,Burcote,52.555203,-2.376056,1.927,0.026000000000000002,0.55,0.10200000000000001
2027,Ebley Mill,51.740019,-2.24687,1.396,-0.004,0.9500000000000001,0.133
2029,Knightsford Bridge,52.198971,-2.389281,6.417,0.24,5.2,0.307
2032,Saxons Lode,52.049661,-2.200744,5.925,0.322,4,0.417
2034,Oak Cottage,52.385318,-2.337878,2.984,0.047,1,0.084
2036,Hinton On Green,52.064842,-1.966688,4.922,-0.002,2.65,0.07200000000000001
2038,Llanyblodwel,52.794313,-3.110292,2.675,0.092,1.047,0.225
2039,Newnham Bridge,52.32,-2.523849,4.199,-0.131,1.5,0.159
2040,Tibberton,52.781029,-2.474812,1.239,0.06,0.327,0.11800000000000001
2046,Cosford Ww RAIN,52.639315,-2.326238,,,,
2048,Wellesbourne,52.197687,-1.602579,2.228,0.05,0.362,0.091
2049,Leamington Pdw LVL,52.286203,-1.549042,,,,
2050,Eathorpe,52.316208,-1.431466,3.253,0.04,1.159,0.23800000000000002
2052,Ternhill (Bailey Brook),52.879618,-2.55338,,,,
2054,Onibury,52.405995,-2.80328,3.632,0.642,1.7000000000000002,0.7000000000000001
2057,Haw Bridge,51.948918,-2.227065,6.228,0.343,4.5,0.533
2063,Prestwood LVL,52.473154,-2.197148,,,,
2067,Swindon,52.51274,-2.205945,3.058,0.083,1.336,1.044
2071,Ashleworth,51.922936,-2.265002,6.029,0.384,3.576,0.579
2077,Welsh Bridge,52.709797,-2.75808,5.252,0.107,2.7,0.422
2083,Stourbridge,52.457997,-2.140347,2.262,0.068,1.1,0.106
2084,Stourton,52.461315,-2.207471,3.216,0.054,2.4,0.105
2085,Diglis,52.179799,-2.225461,5.304,0.454,2.8,0.548
2086,Bransford,52.177055,-2.28833,6.086,0.304,4.4,0.363
2087,Mythe Bridge,52.00171,-2.163093,5.498,0.311,2.8,0.406
2088,Lilbourne,52.395138,-1.173153,1.881,0.057,0.659,0.098
2090,Rugby,52.38548,-1.26252,3.773,-0.1,1.079,0.035
2091,Warwick,52.284932,-1.562658,3.9450000000000003,0.319,1.463,0.399
2092,Shipston,52.062264,-1.622014,5.223,0.045,0.969,0.11900000000000001
2093,Stratford,52.191595,-1.70123,2.71,0.14,0.926,0.499
2094,Studley,52.274092,-1.88959,2.718,0.461,0.812,0.505
2095,Little Alne,52.247533,-1.793996,3.375,0.856,1.329,0.897
2097,Pershore,52.10744,-2.07193,6.067,2.6630000000000003,3.606,3.36
2098,Upper Pound,51.998663,-2.155508,5.491,1.9260000000000002,2.8,2.127
2102,Minsterworth,51.850206,-2.336612,6.276,-0.012,5.7,0.9530000000000001
2102SO,Rainfall station,51.105481,0.116212,,,,
2104,Broom,52.180399,-1.87505,3.222,0.043000000000000003,0.488,0.12
2107,Knighton,52.344778,-3.043943,2.852,0.515,0.981,0.532
2117,Churchover,52.421794,-1.255694,1.758,0.015,1.38,0.085
2124,Parkend,51.764493,-2.556805,1.268,0.006,0.6000000000000001,0.044
2125,Castle Foregate,52.714919,-2.749968,2.446,0.02,0.43,0.03
2128,Bredon,52.03494,-2.116566,4.6690000000000005,0.012,2,0.651
2129,Holyhead Road,52.417908,-1.54648,1.587,0.013000000000000001,1.1,0.033
2131,Shelley Close,52.211373,-2.215962,1.798,0.509,1.35,0.544
2132,Leintwardine,52.359087,-2.876144,2.505,0.256,1.2,0.315
